model,hidden_channels,learning_rate,val_loss,precision_val_macro,recall_val_macro,f1_val_macro,mcc_val_macro
GAT,16,0.0004999999999999999,0.7242819517850876,0.5285939555301985,0.614340747406012,0.5590907429907822,0.17553481296368115
GIN,16,0.0004999999999999999,0.7339395135641098,0.4960297506809135,0.5783445341131701,0.5278052669195669,0.11634721364564328
GCN,16,0.001057371263440564,0.725475087761879,0.5352870813397129,0.48394867324653906,0.4731601644353322,0.169055902916126
GAT,16,0.001057371263440564,0.7361999154090881,0.5617283950617283,0.5936038391961683,0.5202500208350697,0.16368010967008542
GIN,16,0.001057371263440564,0.7326247245073318,0.5712361123261306,0.512045290517298,0.5327282728272827,0.21749408839033907
GCN,16,0.0022360679774997894,0.7064324468374252,0.5554998607630187,0.6179268715612668,0.5820143224925749,0.2526754181475064
GAT,16,0.0022360679774997894,0.7305728793144226,0.5089936067269009,0.6004311597259324,0.5390152167291317,0.12590235710982045
GIN,16,0.0022360679774997894,0.745712012052536,0.5291130843029189,0.3911593510108821,0.4190005957117451,0.09512038674200218
GCN,16,0.004728708045015879,0.7422650158405304,0.712576896787423,0.38081901601852114,0.3899576142139071,0.1575725902574145
GAT,16,0.004728708045015879,0.7080325037240982,0.5888047138047138,0.6460159904020096,0.6106059857005123,0.2761265944825315
GIN,16,0.004728708045015879,0.734999805688858,0.5337580320454484,0.5869377349117528,0.5332328085599399,0.16608270664660518
GCN,16,0.01,0.8615066707134247,0.5354336323901542,0.7125214408233277,0.5511982907069295,0.13101556781128795
GAT,16,0.01,0.7329658269882202,0.5052316644707949,0.7018849178453261,0.5842626895918431,0.13875158758612843
GIN,16,0.01,0.7383257299661636,0.5338326785657644,0.6802406996035205,0.5438945438945438,0.16850081142412207
GCN,8,0.0004999999999999999,0.7352812141180038,0.5192307692307693,0.5209890429191387,0.5132254075159325,0.14385209931768636
GAT,8,0.0004999999999999999,0.7309127300977707,0.5125058602906704,0.49463955984215807,0.4954019457245264,0.12536809386442785
GIN,8,0.0004999999999999999,0.7226796001195908,0.5618223219643723,0.5645249275932852,0.5551156077146177,0.2196613163634198
GCN,8,0.001057371263440564,0.7207439541816711,0.55515635874913,0.6832625669000553,0.58899366643209,0.22428618086888727
GAT,8,0.001057371263440564,0.715806633234024,0.5381025572485075,0.6413444685019074,0.5546940899872574,0.16783367430942708
GIN,8,0.001057371263440564,0.7385107427835464,0.5349326599326599,0.47301783689040106,0.47695594502300115,0.11668891520593862
GCN,8,0.0022360679774997894,0.7290857285261154,0.5685897435897436,0.6495215064345903,0.5658156814274958,0.19393496280197806
GAT,8,0.0022360679774997894,0.7138292044401169,0.5352598382010146,0.6100685169042732,0.561790214367534,0.18378954289240154
GIN,8,0.0022360679774997894,0.7286444753408432,0.5463930829784488,0.5153539727619529,0.5163357225881441,0.1831277886332405
GCN,8,0.004728708045015879,0.7299121469259262,0.5322021116138763,0.45725426238881234,0.44492283435917646,0.15432923914382674
GAT,8,0.004728708045015879,0.7125915735960007,0.5506020799124247,0.4849928296262969,0.5045809924503901,0.18858125910629464
GIN,8,0.004728708045015879,0.7366698980331421,0.5150702426564496,0.651600446156586,0.5423815644722367,0.07682131075161672
GCN,8,0.01,0.7488543838262558,0.3518150623081091,0.4812867305907826,0.3948613928329953,0.1244164772505781
GAT,8,0.01,0.7614484131336212,0.536206896551724,0.6752917357928183,0.4848335893497184,0.08315296281350733
GIN,8,0.01,0.7404479682445526,0.5850179211469534,0.5333483301933658,0.5183435198764784,0.20052078447731325
